Patient	Type	Gene	Cytoband	Samples with alteration in altered group	Samples with alteration in unaltered group	Log Ratio	p-Value	q-Value	Tendency
P-0016691	MUT	IDH1	2q34	150 (13.27%)	551 (40.97%)	-1.63	4E-55	2.77E-52	Mutual exclusivity
P-0016691	MUT	ATRX	Xq21.1	74 (6.55%)	301 (22.38%)	-1.77	8.26E-30	2.86E-27	Mutual exclusivity
P-0016691	MUT	CIC	19q13.2	111 (9.82%)	17 (1.26%)	2.96	3.35E-23	7.73E-21	Co-occurrence
P-0016691	MUT	TP53	17p13.1	299 (26.46%)	607 (45.13%)	-0.77	2.9E-22	5.01E-20	Mutual exclusivity
P-0016691	MUT	RB1	13q14.2	127 (11.24%)	43 (3.20%)	1.81	1.53E-15	2.12E-13	Co-occurrence
P-0016691	MUT	STAG2	Xq25	67 (5.93%)	13 (0.97%)	2.62	9.57E-13	1.1E-10	Co-occurrence
P-0016691	MUT	FUBP1	1p31.1	37 (3.27%)	2 (0.15%)	4.46	4.28E-11	4.24E-09	Co-occurrence
P-0016691	MUT	H3F3B	17q25.1	5 (0.44%)	46 (3.42%)	-2.95	2.65E-08	2.295E-06	Mutual exclusivity
P-0016691	MUT	NF1	17q11.2	179 (15.84%)	121 (9.00%)	0.82	1.46E-07	1.122E-05	Co-occurrence
P-0016691	MUT	PIK3R1	5q13.1	103 (9.12%)	56 (4.16%)	1.13	4.18E-07	2.892E-05	Co-occurrence
P-0016691	MUT	NSD1	5q35.3	30 (2.65%)	5 (0.37%)	2.84	9.22E-07	5.801E-05	Co-occurrence
P-0016691	MUT	GRIN2A	16p13.2	23 (2.04%)	2 (0.15%)	3.77	1.26E-06	7.159E-05	Co-occurrence
P-0016691	MUT	CARD11	7p22.2	35 (3.10%)	8 (0.59%)	2.38	1.345E-06	7.159E-05	Co-occurrence
P-0016691	MUT	AXIN2	17q24.1	17 (1.50%)	0 (0.00%)	>10	1.524E-06	7.532E-05	Co-occurrence
P-0016691	MUT	SETD2	3p21.31	81 (7.17%)	41 (3.05%)	1.23	1.81E-06	8.351E-05	Co-occurrence
P-0016691	MUT	FLT4	5q35.3	47 (4.16%)	16 (1.19%)	1.81	2.195E-06	9.492E-05	Co-occurrence
P-0016691	MUT	MGA	15q15.1	24 (2.12%)	3 (0.22%)	3.25	3.141E-06	1.23E-04	Co-occurrence
P-0016691	MUT	IRS1	2q36.3	16 (1.42%)	0 (0.00%)	>10	3.364E-06	1.23E-04	Co-occurrence
P-0016691	MUT	KMT2C	7q36.1	26 (2.30%)	4 (0.30%)	2.95	3.378E-06	1.23E-04	Co-occurrence
P-0016691	MUT	PTPRT	20q12-q13.11	21 (1.86%)	2 (0.15%)	3.64	5.23E-06	1.727E-04	Co-occurrence
P-0016691	MUT	BRAF	7q34	35 (3.10%)	95 (7.06%)	-1.19	5.24E-06	1.727E-04	Mutual exclusivity
P-0016691	MUT	CREBBP	16p13.3	53 (4.69%)	22 (1.64%)	1.52	7.716E-06	2.427E-04	Co-occurrence
P-0016691	MUT	DOT1L	19p13.3	14 (1.24%)	0 (0.00%)	>10	1.637E-05	4.53E-04	Co-occurrence
P-0016691	MUT	TBX3	12q24.21	14 (1.24%)	0 (0.00%)	>10	1.637E-05	4.53E-04	Co-occurrence
P-0016691	MUT	TP53BP1	15q15.3	14 (1.24%)	0 (0.00%)	>10	1.637E-05	4.53E-04	Co-occurrence
P-0016691	MUT	FGFR3	4p16.3	38 (3.36%)	13 (0.97%)	1.8	2.268E-05	6.036E-04	Co-occurrence
P-0016691	MUT	PIK3CG	7q22.3	23 (2.04%)	4 (0.30%)	2.77	2.382E-05	6.104E-04	Co-occurrence
P-0016691	MUT	PTPN11	12q24.13	68 (6.02%)	36 (2.68%)	1.17	2.778E-05	6.865E-04	Co-occurrence
P-0016691	MUT	KMT2A	11q23.3	44 (3.89%)	18 (1.34%)	1.54	3.976E-05	9.464E-04	Co-occurrence
P-0016691	MUT	NOTCH4	6p21.32	18 (1.59%)	2 (0.15%)	3.42	4.284E-05	9.464E-04	Co-occurrence
P-0016691	MUT	ZFHX3	16q22.2-q22.3	18 (1.59%)	2 (0.15%)	3.42	4.284E-05	9.464E-04	Co-occurrence
P-0016691	MUT	NOTCH3	19p13.12	29 (2.57%)	8 (0.59%)	2.11	4.439E-05	9.464E-04	Co-occurrence
P-0016691	MUT	KDM5A	12p13.33	22 (1.95%)	4 (0.30%)	2.71	4.513E-05	9.464E-04	Co-occurrence
P-0016691	MUT	PBRM1	3p21.1	32 (2.83%)	10 (0.74%)	1.93	4.867E-05	9.905E-04	Co-occurrence
P-0016691	MUT	ERG	21q22.2	23 (2.04%)	5 (0.37%)	2.45	7.591E-05	1.486E-03	Co-occurrence
P-0016691	MUT	HGF	7q21.11	12 (1.06%)	0 (0.00%)	>10	7.947E-05	1.486E-03	Co-occurrence
P-0016691	MUT	IKBKE	1q32.1	12 (1.06%)	0 (0.00%)	>10	7.947E-05	1.486E-03	Co-occurrence
P-0016691	MUT	RPTOR	17q25.3	19 (1.68%)	3 (0.22%)	2.91	8.95E-05	1.63E-03	Co-occurrence
P-0016691	MUT	MTOR	1p36.22	36 (3.19%)	14 (1.04%)	1.61	1.267E-04	2.247E-03	Co-occurrence
P-0016691	MUT	FBXW7	4q31.3	22 (1.95%)	5 (0.37%)	2.39	1.389E-04	2.333E-03	Co-occurrence
P-0016691	MUT	MAP3K13	3q27.2	14 (1.24%)	1 (0.07%)	4.06	1.416E-04	2.333E-03	Co-occurrence
P-0016691	MUT	TRAF7	16p13.3	14 (1.24%)	1 (0.07%)	4.06	1.416E-04	2.333E-03	Co-occurrence
P-0016691	MUT	ERCC5	13q33.1	25 (2.21%)	7 (0.52%)	2.09	1.694E-04	2.576E-03	Co-occurrence
P-0016691	MUT	GNAS	20q13.32	25 (2.21%)	7 (0.52%)	2.09	1.694E-04	2.576E-03	Co-occurrence
P-0016691	MUT	TP63	3q28	16 (1.42%)	2 (0.15%)	3.25	1.696E-04	2.576E-03	Co-occurrence
P-0016691	MUT	MEN1	11q13.1	11 (0.97%)	0 (0.00%)	>10	1.75E-04	2.576E-03	Co-occurrence
P-0016691	MUT	PARP1	1q42.12	11 (0.97%)	0 (0.00%)	>10	1.75E-04	2.576E-03	Co-occurrence
P-0016691	MUT	MAP3K1	5q11.2	28 (2.48%)	9 (0.67%)	1.89	1.813E-04	2.614E-03	Co-occurrence
P-0016691	MUT	MSH6	2p16.3	35 (3.10%)	14 (1.04%)	1.57	2.044E-04	2.887E-03	Co-occurrence
P-0016691	MUT	EPHA5	4q13.1-q13.2	23 (2.04%)	6 (0.45%)	2.19	2.09E-04	2.893E-03	Co-occurrence
P-0016691	MUT	BRD4	19p13.12	32 (2.83%)	12 (0.89%)	1.67	2.238E-04	3.037E-03	Co-occurrence
P-0016691	MUT	ERBB2	17q12	26 (2.30%)	8 (0.59%)	1.95	2.327E-04	3.038E-03	Co-occurrence
P-0016691	MUT	MED12	Xq13.1	26 (2.30%)	8 (0.59%)	1.95	2.327E-04	3.038E-03	Co-occurrence
P-0016691	MUT	DNMT1	19p13.2	13 (1.15%)	1 (0.07%)	3.95	2.922E-04	3.64E-03	Co-occurrence
P-0016691	MUT	RBM10	Xp11.3	13 (1.15%)	1 (0.07%)	3.95	2.922E-04	3.64E-03	Co-occurrence
P-0016691	MUT	SPEN	1p36.21-p36.13	19 (1.68%)	4 (0.30%)	2.5	2.946E-04	3.64E-03	Co-occurrence
P-0016691	MUT	CDK8	13q12.13	10 (0.88%)	0 (0.00%)	>10	3.851E-04	4.595E-03	Co-occurrence
P-0016691	MUT	IRF4	6p25.3	10 (0.88%)	0 (0.00%)	>10	3.851E-04	4.595E-03	Co-occurrence
P-0016691	MUT	KDM6A	Xp11.3	20 (1.77%)	5 (0.37%)	2.25	4.542E-04	5.327E-03	Co-occurrence
P-0016691	MUT	RUNX1	21q22.12	18 (1.59%)	4 (0.30%)	2.42	5.418E-04	6.147E-03	Co-occurrence
P-0016691	MUT	XPO1	2p15	18 (1.59%)	4 (0.30%)	2.42	5.418E-04	6.147E-03	Co-occurrence
P-0016691	MUT	IRS2	13q34	12 (1.06%)	1 (0.07%)	3.84	6.002E-04	6.583E-03	Co-occurrence
P-0016691	MUT	PIK3CD	1p36.22	12 (1.06%)	1 (0.07%)	3.84	6.002E-04	6.583E-03	Co-occurrence
P-0016691	MUT	ETV1	7p21.2	16 (1.42%)	3 (0.22%)	2.67	6.183E-04	6.583E-03	Co-occurrence
P-0016691	MUT	PIK3C2G	12p12.3	16 (1.42%)	3 (0.22%)	2.67	6.183E-04	6.583E-03	Co-occurrence
P-0016691	MUT	ASXL2	2p23.3	14 (1.24%)	2 (0.15%)	3.06	6.547E-04	6.864E-03	Co-occurrence
P-0016691	MUT	SF3B1	2q33.1	24 (2.12%)	8 (0.59%)	1.84	6.737E-04	6.958E-03	Co-occurrence
P-0016691	MUT	FAT1	4q35.2	36 (3.19%)	17 (1.26%)	1.33	7.916E-04	8.056E-03	Co-occurrence
P-0016691	MUT	NOTCH2	1p12	41 (3.63%)	21 (1.56%)	1.22	8.082E-04	8.105E-03	Co-occurrence
P-0016691	MUT	AXIN1	16p13.3	9 (0.80%)	0 (0.00%)	>10	8.472E-04	8.375E-03	Co-occurrence
P-0016691	MUT	DNMT3A	2p23.3	33 (2.92%)	15 (1.12%)	1.39	9.436E-04	9.197E-03	Co-occurrence
P-0016691	MUT	EZH2	7q36.1	17 (1.50%)	4 (0.30%)	2.34	9.878E-04	9.493E-03	Co-occurrence
P-0016691	MUT	KDR	4q12	39 (3.45%)	20 (1.49%)	1.21	1.096E-03	0.0102	Co-occurrence
P-0016691	MUT	MET	7q31.2	39 (3.45%)	20 (1.49%)	1.21	1.096E-03	0.0102	Co-occurrence
P-0016691	MUT	ERBB4	2q34	30 (2.65%)	13 (0.97%)	1.46	1.107E-03	0.0102	Co-occurrence
P-0016691	MUT	ATR	3q23	20 (1.77%)	6 (0.45%)	1.99	1.127E-03	0.0103	Co-occurrence
P-0016691	MUT	ARID5B	10q21.2	11 (0.97%)	1 (0.07%)	3.71	1.226E-03	0.0105	Co-occurrence
P-0016691	MUT	EPHB1	3q22.2	11 (0.97%)	1 (0.07%)	3.71	1.226E-03	0.0105	Co-occurrence
P-0016691	MUT	LATS1	6q25.1	11 (0.97%)	1 (0.07%)	3.71	1.226E-03	0.0105	Co-occurrence
P-0016691	MUT	MST1R	3p21.31	11 (0.97%)	1 (0.07%)	3.71	1.226E-03	0.0105	Co-occurrence
P-0016691	MUT	SYK	9q22.2	11 (0.97%)	1 (0.07%)	3.71	1.226E-03	0.0105	Co-occurrence
P-0016691	MUT	ANKRD11	16q24.3	13 (1.15%)	2 (0.15%)	2.95	1.272E-03	0.0105	Co-occurrence
P-0016691	MUT	BAP1	3p21.1	13 (1.15%)	2 (0.15%)	2.95	1.272E-03	0.0105	Co-occurrence
P-0016691	MUT	CDK12	17q12	13 (1.15%)	2 (0.15%)	2.95	1.272E-03	0.0105	Co-occurrence
P-0016691	MUT	BRIP1	17q23.2	25 (2.21%)	10 (0.74%)	1.57	1.709E-03	0.0132	Co-occurrence
P-0016691	MUT	GLI1	12q13.3	25 (2.21%)	10 (0.74%)	1.57	1.709E-03	0.0132	Co-occurrence
P-0016691	MUT	POLE	12q24.33	25 (2.21%)	10 (0.74%)	1.57	1.709E-03	0.0132	Co-occurrence
P-0016691	MUT	PTPRS	19p13.3	16 (1.42%)	4 (0.30%)	2.25	1.783E-03	0.0132	Co-occurrence
P-0016691	MUT	SOS1	2p22.1	16 (1.42%)	4 (0.30%)	2.25	1.783E-03	0.0132	Co-occurrence
P-0016691	MUT	DNMT3B	20q11.21	8 (0.71%)	0 (0.00%)	>10	1.863E-03	0.0132	Co-occurrence
P-0016691	MUT	ERRFI1	1p36.23	8 (0.71%)	0 (0.00%)	>10	1.863E-03	0.0132	Co-occurrence
P-0016691	MUT	PAK5	20p12.2	8 (0.71%)	0 (0.00%)	>10	1.863E-03	0.0132	Co-occurrence
P-0016691	MUT	RAD51C	17q22	8 (0.71%)	0 (0.00%)	>10	1.863E-03	0.0132	Co-occurrence
P-0016691	MUT	RPS6KA4	11q13.1	8 (0.71%)	0 (0.00%)	>10	1.863E-03	0.0132	Co-occurrence
P-0016691	MUT	SHQ1	3p13	8 (0.71%)	0 (0.00%)	>10	1.863E-03	0.0132	Co-occurrence
P-0016691	MUT	TEK	9p21.2	8 (0.71%)	0 (0.00%)	>10	1.863E-03	0.0132	Co-occurrence
P-0016691	MUT	TRAF2	9q34.3	8 (0.71%)	0 (0.00%)	>10	1.863E-03	0.0132	Co-occurrence
P-0016691	MUT	YES1	18p11.32	8 (0.71%)	0 (0.00%)	>10	1.863E-03	0.0132	Co-occurrence
P-0016691	MUT	BCL6	3q27.3	19 (1.68%)	6 (0.45%)	1.91	1.939E-03	0.0136	Co-occurrence
P-0016691	MUT	NCOR1	17p12-p11.2	14 (1.24%)	3 (0.22%)	2.47	2.149E-03	0.0149	Co-occurrence
P-0016691	MUT	NOTCH1	9q34.3	75 (6.64%)	54 (4.01%)	0.73	2.343E-03	0.0156	Co-occurrence
P-0016691	MUT	EED	11q14.2	12 (1.06%)	2 (0.15%)	2.84	2.448E-03	0.0156	Co-occurrence
P-0016691	MUT	AMER1	Xq11.2	10 (0.88%)	1 (0.07%)	3.57	2.486E-03	0.0156	Co-occurrence
P-0016691	MUT	BARD1	2q35	10 (0.88%)	1 (0.07%)	3.57	2.486E-03	0.0156	Co-occurrence
P-0016691	MUT	CTCF	16q22.1	10 (0.88%)	1 (0.07%)	3.57	2.486E-03	0.0156	Co-occurrence
P-0016691	MUT	GATA2	3q21.3	10 (0.88%)	1 (0.07%)	3.57	2.486E-03	0.0156	Co-occurrence
P-0016691	MUT	HOXB13	17q21.32	10 (0.88%)	1 (0.07%)	3.57	2.486E-03	0.0156	Co-occurrence
P-0016691	MUT	LATS2	13q12.11	10 (0.88%)	1 (0.07%)	3.57	2.486E-03	0.0156	Co-occurrence
P-0016691	MUT	MDC1	6p21.33	10 (0.88%)	1 (0.07%)	3.57	2.486E-03	0.0156	Co-occurrence
P-0016691	MUT	STAT5B	17q21.2	10 (0.88%)	1 (0.07%)	3.57	2.486E-03	0.0156	Co-occurrence
P-0016691	MUT	RAD50	5q31.1	17 (1.50%)	5 (0.37%)	2.02	2.504E-03	0.0156	Co-occurrence
P-0016691	MUT	EPHA3	3p11.1	24 (2.12%)	10 (0.74%)	1.51	2.739E-03	0.0169	Co-occurrence
P-0016691	MUT	CDKN2C	1p32.3	21 (1.86%)	8 (0.59%)	1.64	3.087E-03	0.0189	Co-occurrence
P-0016691	MUT	COP1	1q25.1-q25.2	15 (1.33%)	4 (0.30%)	2.16	3.184E-03	0.0192	Co-occurrence
P-0016691	MUT	IKZF1	7p12.2	25 (2.21%)	11 (0.82%)	1.44	3.194E-03	0.0192	Co-occurrence
P-0016691	MUT	PLCG2	16q23.3	18 (1.59%)	6 (0.45%)	1.84	3.297E-03	0.0193	Co-occurrence
P-0016691	MUT	SLX4	16p13.3	18 (1.59%)	6 (0.45%)	1.84	3.297E-03	0.0193	Co-occurrence
P-0016691	MUT	TET1	10q21.3	18 (1.59%)	6 (0.45%)	1.84	3.297E-03	0.0193	Co-occurrence
P-0016691	MUT	CXCR4	2q22.1	7 (0.62%)	0 (0.00%)	>10	4.094E-03	0.0234	Co-occurrence
P-0016691	MUT	INPP4A	2q11.2	7 (0.62%)	0 (0.00%)	>10	4.094E-03	0.0234	Co-occurrence
P-0016691	MUT	SLITRK6	13q31.1	7 (0.62%)	0 (0.00%)	>10	4.094E-03	0.0234	Co-occurrence
P-0016691	MUT	INPP4B	4q31.21	11 (0.97%)	2 (0.15%)	2.71	4.666E-03	0.026	Co-occurrence
P-0016691	MUT	PGR	11q22.1	11 (0.97%)	2 (0.15%)	2.71	4.666E-03	0.026	Co-occurrence
P-0016691	MUT	SOX17	8q11.23	11 (0.97%)	2 (0.15%)	2.71	4.666E-03	0.026	Co-occurrence
P-0016691	MUT	SMARCA4	19p13.2	41 (3.63%)	25 (1.86%)	0.96	4.732E-03	0.0262	Co-occurrence
P-0016691	MUT	DDB2	11p11.2	9 (0.80%)	1 (0.07%)	3.42	5.006E-03	0.0266	Co-occurrence
