GeneA	edgeType	GeneB	relation_sif	count
PTEN	controls-state-change-of	PIK3CA	PTEN controls-state-change-of PIK3CA	15
PIK3R1	controls-expression-of	CCND1	PIK3R1 controls-expression-of CCND1	10
TP53	controls-expression-of	AKT2	TP53 controls-expression-of AKT2	2
MYC	controls-expression-of	NOTCH1	MYC controls-expression-of NOTCH1	5
PIK3CA	controls-state-change-of	FGFR1	PIK3CA controls-state-change-of FGFR1	11
PIK3R1	controls-expression-of	CCND3	PIK3R1 controls-expression-of CCND3	6
DNMT3B	controls-expression-of	TP53	DNMT3B controls-expression-of TP53	1
PIK3CA	controls-state-change-of	FGFR2	PIK3CA controls-state-change-of FGFR2	13
ATR	controls-state-change-of	PRKDC	ATR controls-state-change-of PRKDC	3
PIK3CA	controls-state-change-of	FGF19	PIK3CA controls-state-change-of FGF19	13
ESR1	controls-state-change-of	BRCA1	ESR1 controls-state-change-of BRCA1	8
PIK3CA	controls-state-change-of	FGFR4	PIK3CA controls-state-change-of FGFR4	1
TP53	controls-expression-of	MYC	TP53 controls-expression-of MYC	14
ATR	controls-state-change-of	MDM4	ATR controls-state-change-of MDM4	2
ERBB2	controls-state-change-of	AKT1	ERBB2 controls-state-change-of AKT1	7
CDH1	controls-state-change-of	PIK3R1	CDH1 controls-state-change-of PIK3R1	2
ERBB2	controls-state-change-of	PIK3CA	ERBB2 controls-state-change-of PIK3CA	20
ATR	controls-state-change-of	MDM2	ATR controls-state-change-of MDM2	3
AKT1	controls-state-change-of	ESR1	AKT1 controls-state-change-of ESR1	8
ERBB2	controls-state-change-of	AKT2	ERBB2 controls-state-change-of AKT2	2
ATM	controls-state-change-of	TP53	ATM controls-state-change-of TP53	2
ERBB2	controls-state-change-of	AKT3	ERBB2 controls-state-change-of AKT3	1
MET	controls-state-change-of	AKT1	MET controls-state-change-of AKT1	1
PIK3CA	controls-state-change-of	SYK	PIK3CA controls-state-change-of SYK	6
MET	controls-state-change-of	AKT2	MET controls-state-change-of AKT2	1
FGFR1	controls-state-change-of	AKT2	FGFR1 controls-state-change-of AKT2	4
FGFR1	controls-state-change-of	AKT1	FGFR1 controls-state-change-of AKT1	7
YES1	controls-state-change-of	KRAS	YES1 controls-state-change-of KRAS	1
FGF19	controls-state-change-of	SYK	FGF19 controls-state-change-of SYK	4
HIST1H3B	controls-expression-of	MYC	HIST1H3B controls-expression-of MYC	1
CDK4	controls-state-change-of	RB1	CDK4 controls-state-change-of RB1	1
FOXA1	controls-expression-of	ESR1	FOXA1 controls-expression-of ESR1	5
YES1	controls-state-change-of	AKT2	YES1 controls-state-change-of AKT2	1
YES1	controls-state-change-of	AKT1	YES1 controls-state-change-of AKT1	1
TCF3	controls-expression-of	MYC	TCF3 controls-expression-of MYC	1
TP53	controls-expression-of	BRCA1	TP53 controls-expression-of BRCA1	11
JAK2	controls-state-change-of	KRAS	JAK2 controls-state-change-of KRAS	1
EGFR	controls-expression-of	TERT	EGFR controls-expression-of TERT	6
MDM4	controls-state-change-of	TP53	MDM4 controls-state-change-of TP53	1
TP53	controls-expression-of	NTRK1	TP53 controls-expression-of NTRK1	1
TP53	controls-expression-of	NTRK3	TP53 controls-expression-of NTRK3	1
CBFB	controls-state-change-of	RUNX1	CBFB controls-state-change-of RUNX1	3
ERBB2	controls-state-change-of	KRAS	ERBB2 controls-state-change-of KRAS	1
FLT4	controls-state-change-of	PIK3CA	FLT4 controls-state-change-of PIK3CA	1
FGFR2	controls-state-change-of	PIK3R1	FGFR2 controls-state-change-of PIK3R1	9
MDC1	controls-state-change-of	BARD1	MDC1 controls-state-change-of BARD1	1
TP53	controls-expression-of	EP300	TP53 controls-expression-of EP300	1
KDR	controls-state-change-of	FYN	KDR controls-state-change-of FYN	1
AKT1	controls-state-change-of	HIST1H3B	AKT1 controls-state-change-of HIST1H3B	2
MYC	controls-expression-of	IKZF3	MYC controls-expression-of IKZF3	5
FGF19	controls-state-change-of	RHOA	FGF19 controls-state-change-of RHOA	1
AKT1	controls-state-change-of	HIST1H3F	AKT1 controls-state-change-of HIST1H3F	6
AKT1	controls-state-change-of	CDKN1B	AKT1 controls-state-change-of CDKN1B	1
PARP1	controls-state-change-of	TP53	PARP1 controls-state-change-of TP53	1
CCND2	controls-state-change-of	RB1	CCND2 controls-state-change-of RB1	1
MTA1	controls-state-change-of	HIST1H3F	MTA1 controls-state-change-of HIST1H3F	1
PTEN	controls-state-change-of	EGFR	PTEN controls-state-change-of EGFR	12
ESR1	controls-state-change-of	FGF3	ESR1 controls-state-change-of FGF3	1
AKT1	controls-state-change-of	TSC2	AKT1 controls-state-change-of TSC2	1
ESR1	controls-state-change-of	FGF4	ESR1 controls-state-change-of FGF4	1
TP53	controls-expression-of	CCND2	TP53 controls-expression-of CCND2	1
TP53	controls-expression-of	CCND1	TP53 controls-expression-of CCND1	11
MAP3K1	controls-state-change-of	NOTCH1	MAP3K1 controls-state-change-of NOTCH1	2
