sif	count	sd_os	mean_os	sd_TMB	mean_TMB	OSs	elseOSs	TMBs	elseTMBs
TP53 controls-expression-of AKT2	11	6.407640067893126	6.818181818181818	1.2370258921507018	3.441818181818182	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[]
PTEN controls-state-change-of PIK3CA	2	5.0	7.0	0.19999999999999996	3.1500000000000004	[2.0, 12.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 14.0, 20.0]	[2.95, 3.35]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 4.92, 3.94]
PAK1 controls-state-change-of CDH1	1	0.0	2.0	0.0	2.95	[2.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
PIK3R1 controls-expression-of CCND3	1	0.0	20.0	0.0	3.94	[20.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0]	[3.94]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92]
VEGFA controls-state-change-of CD79B	1	0.0	20.0	0.0	3.94	[20.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0]	[3.94]	[2.23, 2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92]
ATR controls-state-change-of PRKDC	5	4.882622246293481	6.6	1.0116244362410391	2.626	[13.0, 2.0, 2.0, 4.0, 12.0]	[0.0, 5.0, 2.0, 1.0, 14.0, 20.0]	[2.23, 2.63, 3.94, 0.98, 3.35]	[5.58, 2.95, 2.95, 4.39, 4.92, 3.94]
PIK3CA controls-state-change-of FGF19	1	0.0	2.0	0.0	2.95	[2.0]	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.95]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
CASP8 controls-expression-of BCL2L1	7	4.952838806674205	7.428571428571429	1.1652835338601994	3.0	[13.0, 2.0, 5.0, 2.0, 4.0, 12.0, 14.0]	[0.0, 2.0, 1.0, 20.0]	[2.23, 2.63, 2.95, 3.94, 0.98, 3.35, 4.92]	[5.58, 2.95, 4.39, 3.94]
TP53 controls-expression-of MYC	10	6.527633568147036	7.3	1.2871087755119999	3.4910000000000005	[13.0, 2.0, 0.0, 5.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.0]	[2.23, 2.63, 5.58, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]	[2.95]
CEBPA controls-expression-of NOTCH1	1	0.0	13.0	0.0	2.23	[13.0]	[2.0, 0.0, 5.0, 2.0, 2.0, 1.0, 4.0, 12.0, 14.0, 20.0]	[2.23]	[2.63, 5.58, 2.95, 2.95, 3.94, 4.39, 0.98, 3.35, 4.92, 3.94]
