GeneA	edgeType	GeneB	relation_sif	count
TP53	controls-expression-of	AKT2	TP53 controls-expression-of AKT2	11
PTEN	controls-state-change-of	PIK3CA	PTEN controls-state-change-of PIK3CA	2
PAK1	controls-state-change-of	CDH1	PAK1 controls-state-change-of CDH1	1
PIK3R1	controls-expression-of	CCND3	PIK3R1 controls-expression-of CCND3	1
VEGFA	controls-state-change-of	CD79B	VEGFA controls-state-change-of CD79B	1
ATR	controls-state-change-of	PRKDC	ATR controls-state-change-of PRKDC	5
PIK3CA	controls-state-change-of	FGF19	PIK3CA controls-state-change-of FGF19	1
CASP8	controls-expression-of	BCL2L1	CASP8 controls-expression-of BCL2L1	7
TP53	controls-expression-of	MYC	TP53 controls-expression-of MYC	10
CEBPA	controls-expression-of	NOTCH1	CEBPA controls-expression-of NOTCH1	1
ATR	controls-state-change-of	MDM4	ATR controls-state-change-of MDM4	1
ERBB2	controls-state-change-of	PIK3CA	ERBB2 controls-state-change-of PIK3CA	11
ERBB2	controls-state-change-of	AKT2	ERBB2 controls-state-change-of AKT2	11
CEBPA	controls-expression-of	SRSF2	CEBPA controls-expression-of SRSF2	1
SRC	controls-state-change-of	KDR	SRC controls-state-change-of KDR	1
JAK1	controls-state-change-of	IKZF3	JAK1 controls-state-change-of IKZF3	8
RUNX1	controls-expression-of	FGF4	RUNX1 controls-expression-of FGF4	1
CHEK2	controls-state-change-of	MDC1	CHEK2 controls-state-change-of MDC1	8
FGFR1	controls-state-change-of	AKT1	FGFR1 controls-state-change-of AKT1	3
STAT5A	controls-state-change-of	PRKCI	STAT5A controls-state-change-of PRKCI	1
HIST1H3B	controls-expression-of	MYC	HIST1H3B controls-expression-of MYC	1
SOX9	controls-expression-of	FGFR1	SOX9 controls-expression-of FGFR1	2
STAT5B	controls-state-change-of	RRAS	STAT5B controls-state-change-of RRAS	1
MDC1	controls-expression-of	FANCD2	MDC1 controls-expression-of FANCD2	1
TP53	controls-expression-of	VEGFA	TP53 controls-expression-of VEGFA	3
EGFR	controls-state-change-of	CDH1	EGFR controls-state-change-of CDH1	1
TP53	controls-expression-of	BRCA1	TP53 controls-expression-of BRCA1	1
JAK2	controls-state-change-of	KRAS	JAK2 controls-state-change-of KRAS	10
POLD1	controls-state-change-of	BRCA1	POLD1 controls-state-change-of BRCA1	1
ERBB2	controls-state-change-of	KRAS	ERBB2 controls-state-change-of KRAS	10
STAT5B	controls-state-change-of	PRKCI	STAT5B controls-state-change-of PRKCI	1
STAT5A	controls-expression-of	CDK6	STAT5A controls-expression-of CDK6	1
STAT5A	controls-expression-of	KDM6A	STAT5A controls-expression-of KDM6A	1
CDK12	controls-expression-of	BRCA1	CDK12 controls-expression-of BRCA1	1
MYB	controls-expression-of	CCND2	MYB controls-expression-of CCND2	8
PTEN	controls-state-change-of	EGFR	PTEN controls-state-change-of EGFR	1
TCF3	controls-expression-of	FLT3	TCF3 controls-expression-of FLT3	1
TP53	controls-expression-of	CCND1	TP53 controls-expression-of CCND1	1
EGFR	controls-state-change-of	PIK3R1	EGFR controls-state-change-of PIK3R1	1
NOTCH1	controls-state-change-of	STAT3	NOTCH1 controls-state-change-of STAT3	1
KDR	controls-state-change-of	SRC	KDR controls-state-change-of SRC	1
CD79B	controls-state-change-of	PIK3CA	CD79B controls-state-change-of PIK3CA	2
VEGFA	controls-state-change-of	AKT1	VEGFA controls-state-change-of AKT1	1
BRCA1	controls-state-change-of	RB1	BRCA1 controls-state-change-of RB1	1
CCNE1	controls-state-change-of	CDKN1B	CCNE1 controls-state-change-of CDKN1B	6
VEGFA	controls-state-change-of	AKT2	VEGFA controls-state-change-of AKT2	3
BRCA1	controls-state-change-of	AKT1	BRCA1 controls-state-change-of AKT1	3
PAK1	controls-state-change-of	CTNNB1	PAK1 controls-state-change-of CTNNB1	1
CEBPA	controls-expression-of	KMT2B	CEBPA controls-expression-of KMT2B	3
PTPRD	controls-state-change-of	VEGFA	PTPRD controls-state-change-of VEGFA	2
EGFR	controls-state-change-of	JAK2	EGFR controls-state-change-of JAK2	10
KRAS	controls-state-change-of	TP53	KRAS controls-state-change-of TP53	10
GH1	controls-expression-of	TP53	GH1 controls-expression-of TP53	1
BARD1	controls-state-change-of	FANCA	BARD1 controls-state-change-of FANCA	1
STAT5B	controls-expression-of	RRAS	STAT5B controls-expression-of RRAS	1
MYB	controls-expression-of	KMT2D	MYB controls-expression-of KMT2D	7
TCF3	controls-expression-of	NSD1	TCF3 controls-expression-of NSD1	1
BRCA1	controls-expression-of	TNFAIP3	BRCA1 controls-expression-of TNFAIP3	1
FGFR2	controls-state-change-of	CD79B	FGFR2 controls-state-change-of CD79B	1
JAK2	controls-state-change-of	CD79B	JAK2 controls-state-change-of CD79B	1
KDR	controls-state-change-of	PIK3CB	KDR controls-state-change-of PIK3CB	1
CEBPA	controls-expression-of	CACNA2D3	CEBPA controls-expression-of CACNA2D3	3
FANCA	controls-state-change-of	FANCD2	FANCA controls-state-change-of FANCD2	2
MYC	controls-expression-of	FBXW7	MYC controls-expression-of FBXW7	1
AURKA	controls-state-change-of	HIST1H3F	AURKA controls-state-change-of HIST1H3F	1
BRCA1	controls-expression-of	HIST1H3B	BRCA1 controls-expression-of HIST1H3B	1
NOTCH1	controls-expression-of	CDH1	NOTCH1 controls-expression-of CDH1	1
ATR	controls-state-change-of	NBN	ATR controls-state-change-of NBN	6
AURKA	controls-state-change-of	HIST1H3B	AURKA controls-state-change-of HIST1H3B	1
STAT5A	controls-expression-of	FBXW7	STAT5A controls-expression-of FBXW7	1
CCNE1	controls-state-change-of	BRCA1	CCNE1 controls-state-change-of BRCA1	1
PAK1	controls-state-change-of	BRAF	PAK1 controls-state-change-of BRAF	9
MDM2	controls-state-change-of	FOXO3	MDM2 controls-state-change-of FOXO3	5
PIK3CB	controls-state-change-of	RRAS	PIK3CB controls-state-change-of RRAS	1
PRKCI	controls-state-change-of	STAT5A	PRKCI controls-state-change-of STAT5A	1
PRKCI	controls-state-change-of	STAT5B	PRKCI controls-state-change-of STAT5B	1
PIK3R1	controls-state-change-of	EGFR	PIK3R1 controls-state-change-of EGFR	1
CREBBP	controls-expression-of	VEGFA	CREBBP controls-expression-of VEGFA	5
MYC	controls-expression-of	FOXO3	MYC controls-expression-of FOXO3	9
CEBPA	controls-expression-of	NTRK1	CEBPA controls-expression-of NTRK1	7
JAK2	controls-state-change-of	PAK1	JAK2 controls-state-change-of PAK1	9
RB1	controls-expression-of	CDKN2A	RB1 controls-expression-of CDKN2A	9
RAF1	controls-state-change-of	MYC	RAF1 controls-state-change-of MYC	1
RB1	controls-expression-of	CCND3	RB1 controls-expression-of CCND3	9
MYC	controls-expression-of	TP53	MYC controls-expression-of TP53	10
MYC	controls-expression-of	BRCA2	MYC controls-expression-of BRCA2	1
KIT	controls-state-change-of	FGF4	KIT controls-state-change-of FGF4	6
MYC	controls-expression-of	BRCA1	MYC controls-expression-of BRCA1	1
KRAS	controls-expression-of	MYC	KRAS controls-expression-of MYC	10
AKT2	controls-state-change-of	RAF1	AKT2 controls-state-change-of RAF1	1
KIT	controls-state-change-of	FGF3	KIT controls-state-change-of FGF3	6
KMT2D	controls-state-change-of	MYC	KMT2D controls-state-change-of MYC	1
KIT	controls-state-change-of	CD79B	KIT controls-state-change-of CD79B	1
JAK3	controls-state-change-of	AKT1	JAK3 controls-state-change-of AKT1	1
CREBBP	controls-expression-of	CCND1	CREBBP controls-expression-of CCND1	6
PRKCQ	controls-state-change-of	RAF1	PRKCQ controls-state-change-of RAF1	1
RB1	controls-expression-of	CDKN1B	RB1 controls-expression-of CDKN1B	8
CREBBP	controls-expression-of	CCND2	CREBBP controls-expression-of CCND2	8
RUNX1	controls-expression-of	RNF43	RUNX1 controls-expression-of RNF43	1
MDM2	controls-expression-of	TP53	MDM2 controls-expression-of TP53	6
RAF1	controls-state-change-of	RB1	RAF1 controls-state-change-of RB1	1
KDR	controls-state-change-of	FGFR1	KDR controls-state-change-of FGFR1	1
INPPL1	controls-state-change-of	EGFR	INPPL1 controls-state-change-of EGFR	1
TP53	controls-expression-of	RB1	TP53 controls-expression-of RB1	9
JAK3	controls-expression-of	BCL2L1	JAK3 controls-expression-of BCL2L1	1
JAK2	controls-state-change-of	RAF1	JAK2 controls-state-change-of RAF1	1
NF1	controls-state-change-of	PRKCQ	NF1 controls-state-change-of PRKCQ	2
FGFR2	controls-state-change-of	FGF3	FGFR2 controls-state-change-of FGF3	6
FGFR2	controls-state-change-of	FGF4	FGFR2 controls-state-change-of FGF4	6
PRKG1	controls-state-change-of	AKT1	PRKG1 controls-state-change-of AKT1	4
EGFR	controls-state-change-of	CTNNB1	EGFR controls-state-change-of CTNNB1	1
RB1	controls-expression-of	CCNE1	RB1 controls-expression-of CCNE1	7
MYC	controls-expression-of	E2F3	MYC controls-expression-of E2F3	1
POLD1	controls-state-change-of	PALB2	POLD1 controls-state-change-of PALB2	1
RAF1	controls-state-change-of	BRAF	RAF1 controls-state-change-of BRAF	1
NF1	controls-expression-of	ERBB2	NF1 controls-expression-of ERBB2	2
CCND3	controls-state-change-of	RUNX1	CCND3 controls-state-change-of RUNX1	10
MYC	controls-state-change-of	TP53	MYC controls-state-change-of TP53	10
VEGFA	controls-state-change-of	PAK1	VEGFA controls-state-change-of PAK1	3
AKT1	controls-state-change-of	INSR	AKT1 controls-state-change-of INSR	2
FOXO3	controls-expression-of	CDKN1B	FOXO3 controls-expression-of CDKN1B	7
CDK4	controls-state-change-of	HIST1H3B	CDK4 controls-state-change-of HIST1H3B	1
PTEN	controls-expression-of	CCND1	PTEN controls-expression-of CCND1	1
FBXW7	controls-expression-of	RICTOR	FBXW7 controls-expression-of RICTOR	1
CDK4	controls-state-change-of	HIST1H3F	CDK4 controls-state-change-of HIST1H3F	1
ERBB2	controls-state-change-of	CDH1	ERBB2 controls-state-change-of CDH1	2
MYC	controls-expression-of	VEGFA	MYC controls-expression-of VEGFA	3
PAK1	controls-state-change-of	TP53	PAK1 controls-state-change-of TP53	10
MYC	controls-expression-of	CCNE1	MYC controls-expression-of CCNE1	7
CTNNB1	controls-state-change-of	PIK3CA	CTNNB1 controls-state-change-of PIK3CA	1
BARD1	controls-state-change-of	TP53	BARD1 controls-state-change-of TP53	1
VEGFA	controls-state-change-of	RAF1	VEGFA controls-state-change-of RAF1	1
ERBB2	controls-state-change-of	FGF3	ERBB2 controls-state-change-of FGF3	1
ERBB2	controls-state-change-of	FGF4	ERBB2 controls-state-change-of FGF4	1
CDKN2A	controls-state-change-of	MDM2	CDKN2A controls-state-change-of MDM2	6
PIK3CA	controls-state-change-of	FGF3	PIK3CA controls-state-change-of FGF3	1
PIK3CA	controls-state-change-of	FGF4	PIK3CA controls-state-change-of FGF4	1
NTRK1	controls-state-change-of	RIT1	NTRK1 controls-state-change-of RIT1	6
CD79B	controls-state-change-of	PRKCQ	CD79B controls-state-change-of PRKCQ	1
CEBPA	controls-expression-of	KDM6A	CEBPA controls-expression-of KDM6A	2
STAT5A	controls-expression-of	RRAS	STAT5A controls-expression-of RRAS	1
CDKN2A	controls-state-change-of	RB1	CDKN2A controls-state-change-of RB1	9
CDH1	controls-state-change-of	SRC	CDH1 controls-state-change-of SRC	1
RB1	controls-expression-of	MYC	RB1 controls-expression-of MYC	9
TP53	controls-expression-of	MAP3K13	TP53 controls-expression-of MAP3K13	1
AKT2	controls-state-change-of	CTNNB1	AKT2 controls-state-change-of CTNNB1	1
MDM2	controls-state-change-of	TP53	MDM2 controls-state-change-of TP53	6
GH1	controls-state-change-of	TP53	GH1 controls-state-change-of TP53	1
CD79B	controls-state-change-of	PRKCE	CD79B controls-state-change-of PRKCE	1
AKT1	controls-state-change-of	CHEK2	AKT1 controls-state-change-of CHEK2	4
SRC	controls-state-change-of	IGF1R	SRC controls-state-change-of IGF1R	1
JAK2	controls-state-change-of	BRAF	JAK2 controls-state-change-of BRAF	9
BRCA1	controls-expression-of	MYC	BRCA1 controls-expression-of MYC	1
ERBB2	controls-state-change-of	JAK2	ERBB2 controls-state-change-of JAK2	10
CDH1	controls-state-change-of	IGF1R	CDH1 controls-state-change-of IGF1R	1
FGFR1	controls-state-change-of	FGF19	FGFR1 controls-state-change-of FGF19	2
TP53	controls-state-change-of	VEGFA	TP53 controls-state-change-of VEGFA	3
PRKCQ	controls-state-change-of	BRAF	PRKCQ controls-state-change-of BRAF	9
PIK3CA	controls-expression-of	FOXO3	PIK3CA controls-expression-of FOXO3	9
RAF1	controls-state-change-of	AKT2	RAF1 controls-state-change-of AKT2	1
AURKA	controls-state-change-of	AKT1	AURKA controls-state-change-of AKT1	2
STAT5B	controls-expression-of	CDK6	STAT5B controls-expression-of CDK6	1
ATR	controls-state-change-of	BRCA1	ATR controls-state-change-of BRCA1	6
CREBBP	controls-expression-of	TERT	CREBBP controls-expression-of TERT	1
JAK2	controls-state-change-of	PIK3CA	JAK2 controls-state-change-of PIK3CA	10
CEBPA	controls-expression-of	ATRX	CEBPA controls-expression-of ATRX	1
PIK3CA	controls-state-change-of	EGFR	PIK3CA controls-state-change-of EGFR	10
NF1	controls-expression-of	AXIN2	NF1 controls-expression-of AXIN2	1
SRC	controls-state-change-of	RRAS	SRC controls-state-change-of RRAS	1
STAT5A	controls-state-change-of	RRAS	STAT5A controls-state-change-of RRAS	1
FBXW7	controls-state-change-of	CCNE1	FBXW7 controls-state-change-of CCNE1	1
GATA3	controls-expression-of	ERBB2	GATA3 controls-expression-of ERBB2	2
PRKCQ	controls-state-change-of	KRAS	PRKCQ controls-state-change-of KRAS	10
TP53	controls-state-change-of	PIK3CA	TP53 controls-state-change-of PIK3CA	11
AKT2	controls-state-change-of	BRAF	AKT2 controls-state-change-of BRAF	10
FGFR2	controls-state-change-of	AKT1	FGFR2 controls-state-change-of AKT1	4
CEBPA	controls-expression-of	DDR2	CEBPA controls-expression-of DDR2	7
STAT5B	controls-expression-of	CDH1	STAT5B controls-expression-of CDH1	1
JAK2	controls-state-change-of	CDKN1B	JAK2 controls-state-change-of CDKN1B	8
AKT1	controls-expression-of	VEGFA	AKT1 controls-expression-of VEGFA	1
CREBBP	controls-expression-of	KIT	CREBBP controls-expression-of KIT	8
MDC1	controls-state-change-of	CHEK2	MDC1 controls-state-change-of CHEK2	8
CDH1	controls-state-change-of	EGFR	CDH1 controls-state-change-of EGFR	1
PIK3CA	controls-state-change-of	PRKCQ	PIK3CA controls-state-change-of PRKCQ	10
KDR	controls-state-change-of	STAT5A	KDR controls-state-change-of STAT5A	1
KDR	controls-state-change-of	STAT5B	KDR controls-state-change-of STAT5B	1
FOXO3	controls-expression-of	BRAF	FOXO3 controls-expression-of BRAF	9
VEGFA	controls-state-change-of	WT1	VEGFA controls-state-change-of WT1	4
PRKDC	controls-state-change-of	AKT1	PRKDC controls-state-change-of AKT1	3
FGFR1	controls-state-change-of	FGF3	FGFR1 controls-state-change-of FGF3	2
FGFR1	controls-state-change-of	FGF4	FGFR1 controls-state-change-of FGF4	2
CCND3	controls-state-change-of	E2F3	CCND3 controls-state-change-of E2F3	1
FGF19	controls-state-change-of	FGFR2	FGF19 controls-state-change-of FGFR2	6
FGF19	controls-state-change-of	FGFR1	FGF19 controls-state-change-of FGFR1	2
TP53	controls-state-change-of	GH1	TP53 controls-state-change-of GH1	1
SRC	controls-state-change-of	DDR2	SRC controls-state-change-of DDR2	1
PIK3CB	controls-state-change-of	PRKCI	PIK3CB controls-state-change-of PRKCI	1
NF1	controls-expression-of	RUNX1	NF1 controls-expression-of RUNX1	2
VEGFA	controls-state-change-of	PDGFRA	VEGFA controls-state-change-of PDGFRA	5
FOXA1	controls-expression-of	AKT2	FOXA1 controls-expression-of AKT2	1
FGF3	controls-state-change-of	FGF4	FGF3 controls-state-change-of FGF4	9
CDK6	controls-state-change-of	STAT5B	CDK6 controls-state-change-of STAT5B	1
AXL	controls-state-change-of	CD79B	AXL controls-state-change-of CD79B	1
NTRK1	controls-state-change-of	STAT5A	NTRK1 controls-state-change-of STAT5A	1
